file,function,exported,args,title
Alcohol_intake_frequency.R,Alcohol_intake_frequency,yes,path = NULL,酒精摄入频率数据处理函数
Alcohol_status.R,Alcohol_status,yes,"path = NULL, instance = 0",饮酒状态数据处理函数
Algorithmically_defined_outcomes_Extract.R,Algorithmically_defined_outcomes_Extract,yes,path = NULL,提取算法定义的结局数据  从UK Biobank数据中提取算法定义的结局数据
Common_data_extraction.R,Common_data_extraction,yes,"path = NULL, id, name",通用数据提取函数
Diabetes_Comprehensive_diagnosis.R,Diabetes_Comprehensive_diagnosis,yes,path = NULL,综合糖尿病诊断函数
Diabetes_Comprehensive_diagnosis.R,create_medication_column,no,"data, original_col, drug_pattern",
Diabetes_Comprehensive_diagnosis.R,convert_codes_to_names,no,"codes, coding_dict",
Diabetes_Comprehensive_diagnosis.R,check_medication,no,codes,
Diabetes_duration.R,Diabetes_duration,yes,path = NULL,糖尿病病程计算函数
Fasting_time.R,Fasting_time,yes,"path = NULL, instance = 0",禁食时间数据处理函数
Genetic_principal_components.R,Genetic_principal_components,yes,"path = NULL,n=20",遗传主成分数据提取函数
Hand_grip_strength_kg.R,Hand_grip_strength_kg,yes,"path = NULL, instance = 0",提取 UK Biobank 握力数据并计算平均握力
Healthy_diet_score.R,Healthy_diet_score,yes,"path = NULL, i = 0",计算UK Biobank健康饮食得分  基于UK Biobank基线数据，计算7个健康饮食指标（水果、蔬菜、鱼类、加工肉类、未加工红肉、全谷物、精制谷物）的达标情况， 并依据至少4项达标定义健康饮食得
Healthy_sleep_score.R,Healthy_sleep_score,yes,path = NULL,健康睡眠评分计算函数
Hospital_cancer_Diagnoses.R,Hospital_cancer_Diagnoses,yes,path = NULL,
Hospital_cancer_Diagnoses_date.R,Hospital_cancer_Diagnoses_date,yes,"p40006, p40005, disease_codes, disease_name",
Hospital_cancer_Diagnoses_date_list.R,Hospital_cancer_Diagnoses_date_list,yes,"p40006, p40005, disease_list",
Hospital_inpatient_Diagnoses.R,Hospital_inpatient_Diagnoses,yes,path = NULL,
Hospital_inpatient_Diagnoses_date.R,Hospital_inpatient_Diagnoses_date,yes,"p41270, p41280, disease_codes, disease_name",
Hospital_inpatient_Diagnoses_date_ICD10.R,Hospital_inpatient_Diagnoses_date_ICD10,yes,"path = NULL, disease_list",住院诊断日期ICD10编码处理函数
Hospital_inpatient_Diagnoses_date_ICD9.R,Hospital_inpatient_Diagnoses_date_ICD9,yes,"path = NULL, disease_list",住院诊断日期ICD9编码处理函数
